1A         | I. NAKİT DEĞERLER VE MERKEZ BANKASI                     | I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY | v1=501656898000
2OA        | 16.1 Ödenmiş Sermaye                                    | 16.1 Paid-in Capital                          | v1=5200000000
2OB        | 16.2 Sermaye Yedekleri                                  | 16.2 Capital Reserves                         | v1=5400628000
2OC        | 16.2.1 Hisse Senedi İhraç Primleri                      | 16.2.1 Share Premium                          | v1=3505742000
2OD        | 16.2.2 Hisse Senedi İptal Karları                       | 16.2.2 Share Cancellation Profits             | v1=0
2OE        | 16.2.3 Menkul Değerler Değerleme Farkları               | 16.2.3 Valuation Changes Of Marketable Securities | v1=0
2OF        | 16.2.4 Maddi Duran Varlıklar Yeniden Değerleme Farkları | 16.2.4 Revaluation Changes Of Property And Equipment | v1=0
2OG        | 16.2.5 Maddi Olmayan Duran Varlıklar Yeniden Değerleme Farkları | 16.2.5 Revaluation Changes Of Intangible Assets | v1=0
2OH        | 16.2.6 Yatırım Amaçlı Gayrimenkuller Yeniden Değerleme Farkları | 16.2.6 Revaluation changes of real estates for investment purpose | v1=0
2OI        | 16.2.7 İşt. Bağlı Ort. Bedelsiz Hisse Senetleri         |                                               | v1=0
2OJ        | 16.2.8 Riskten Korunma Fonları (Etkin kısım)            | 16.2.8 Hedge Funds                            | v1=0
2OK        | 16.2.9 Satış Amaçlı Elde Tut. Dur. DUV Farkları         |                                               | v1=0
2OL        | 16.2.10 Diğer Sermaye Yedekleri                         | 16.2.6 Other Capital Reserves                 | v1=1894886000
2OM        | 16.3 Kar Yedekleri                                      | 16.3 Profit Reserves                          | v1=245513802000
2ON        | 16.3.1 Yasal Yedekler                                   | 16.3.1 Legal Reserves                         | v1=5476871000
2OO        | 16.3.2 Statü Yedekleri                                  | 16.3.2 Status Reserves                        | v1=0
2OP        | 16.3.3 Olağanüstü Yedekler                              | 16.3.3 Extraordinary Reserves                 | v1=216434518000
2OR        | 16.3.4 Diğer Kar Yedekleri                              | 16.3.4 Other Profit Reserves                  | v1=23602413000
2OT        | 16.4 Kar veya Zarar                                     | 16.4 Profit or Loss                           | v1=19178575000
2OU        | 16.4.1 Geçmiş Yıllar Kar/Zararı                         | 16.4.1 Prior Year Profit/Loss                 | v1=0
2OV        | 16.4.2 Dönem Net Kar/Zararı                             | 16.4.2 Current Year Profit/Loss               | v1=19178575000
2OVA       | 16.5 Azınlık Payları                                    | 16.5 Minority Shares'                         | v1=0
2Z         | PASİF TOPLAMI                                           | TOTAL LIABILITIES                             | v1=3419802978000
3A         | I. FAİZ GELİRLERİ                                       | I. INTEREST INCOME                            | v1=162844257000
3AA        | 1.1 Kredilerden Alınan Faizler                          | 1.1 Interest on Loans                         | v1=110822398000
3AB        | 1.2 Zorunlu Karşılıklardan Alınan Faizler               | 1.2 Interest Received From Reserve Deposits   | v1=15099710000
3AC        | 1.3 Bankalardan Alınan Faizler                          | 1.3 Interest Received From Banks              | v1=342089000
